device_id,model_name,location_id,city
c314f569-b3ab-426f-bfa3-3a3bb6728589,Itron-G6,18540,Paigeborough
9008419b-284e-4fad-bb25-a41027ba847e,SmartGas-2000,48051,Lancemouth
9dc9309b-78d0-4c83-a28d-6034bb83dd10,Itron-G6,33012,Mooreborough
9fdcb0c2-e49c-4be5-a15f-dca29fbeb563,Itron-G4,21845,Michaelhaven
a02998a3-8271-452c-ab3c-eb67702777f6,Itron-G4,24498,Lake Daniel
9e19ed04-29f6-4212-bf10-63dd13a202b3,Itron-G6,70237,Bryanmouth
0706fc52-4cb0-43ee-8f7d-e7c561caa567,Itron-G4,31343,South James
8c16c08a-c7ba-448f-84a5-afc0d67453f7,SmartGas-2000,53975,South Nicoletown
3bb38510-f37a-4c2b-9e91-39afa2f056a1,SmartGas-2000,97479,West Colton
c42bf74c-4d79-49c9-b208-2d2efd7f8256,Itron-G4,75989,Mckaytown
165bf633-f170-4bfd-9618-2b8e8791a9dd,Itron-G4,25489,South Stephen
5e737f48-24af-426f-a843-ec3784753d7d,Itron-G4,70987,Zacharyborough
e0f8c5e3-af87-4050-8348-891a10feda21,Itron-G4,72177,Jessicaside
26c50424-677c-425a-bb48-afbbdf5b2f6e,Itron-G4,55266,Leefort
e5aba498-be9a-4288-a4dd-46e0456faf60,Itron-G6,35460,Stevenmouth
4a76c0b1-0b39-4460-94c9-7a5ea4405bfd,Itron-G4,89951,Jessefurt
a3fac055-20f6-441e-99e3-13d632dfd76a,SmartGas-2000,47178,Christieland
def78ba7-31d4-4d0e-aacc-995f8f62278b,Itron-G6,53317,Wallaceview
3db46f15-ccd8-4e77-910f-56206d25acf3,SmartGas-2000,07895,West Isaac
0dd25408-1f47-4f2e-a42f-d24965058868,SmartGas-2000,90746,New Scott
4021bea0-ae7d-4b04-acca-a246bacfe344,Itron-G6,98249,Port Anthony
62a64ba3-3b5f-4ceb-8dbd-aa2811263c8f,Itron-G6,45808,Daltonside
46a1dab6-177f-4bec-ba1c-ab381147796b,Itron-G6,34160,Fryechester
33203127-9fa7-4883-b436-262c47708024,Itron-G6,24405,East Keith
eb3f2fdd-dfe3-4348-aad8-6a6ca8d31ceb,Itron-G6,97305,Richardton
685fb319-42b5-4eb3-ba4b-556c88159785,Itron-G4,78132,South Theresachester
429940c0-bdb2-442c-85d9-fae77bfe22e2,SmartGas-2000,21854,Georgebury
d3789055-2043-4a69-b369-97ceb8f2bea4,SmartGas-2000,76588,West Katherineton
9c975847-fff0-42c2-8223-baabf55b839b,SmartGas-2000,21335,North Ryanview
fdf82298-36d3-4a3c-9f5a-2d1da7346742,SmartGas-2000,25512,Colonchester
643e1a9d-97e8-432a-9e68-57c42bcc80e6,Itron-G4,25785,North Andrea
93a08dd3-51d6-46a4-bfd7-9e4132c42325,Itron-G6,69654,Jennafurt
9626b7cd-f8e0-47ac-967b-92a27de559e3,Itron-G6,96768,Shaneberg
5ead208e-bbd7-4071-b8c2-61591b322bc3,Itron-G6,53185,Chambersshire
7f5da020-3da4-4ff0-a458-b49b0687bd29,Itron-G4,43977,East Megan
ef5c2ec2-986b-462f-97da-7b7f42a53f37,Itron-G6,91777,South Wesley
2e3eb509-20c9-487d-aef3-45499412db85,Itron-G6,41480,Riceborough
9c4ea556-3825-4958-8052-a334074b6a6d,SmartGas-2000,77658,Medinaland
6f9837bb-aa06-4342-ab63-b4249cb8bd4c,SmartGas-2000,74434,Reevesfort
47a8fc3d-ad02-4c91-a7ab-5dda46744112,Itron-G4,38213,Brookeberg
fd9dc910-4edf-4971-a41c-9586f15ec89a,SmartGas-2000,26757,Lake Huntermouth
9cc785f6-4933-4955-af37-e4094715ecb1,SmartGas-2000,16579,Pamelaberg
2c885b7d-80c6-4215-925c-1bf8cd0dcb00,SmartGas-2000,62413,Carrport
63bcf843-f0f8-48ec-8819-357a4ceb22f1,Itron-G6,36810,East Michelleview
3aa8423a-e892-49e6-bef4-ed19a4234c56,Itron-G6,81522,Dustinmouth
7754466f-9e2b-4482-a03b-7a2fbefd70cd,Itron-G4,79198,Washingtonside
b5872329-b8e2-4263-89e8-2b8919e555e6,Itron-G4,88318,South Hannahside
46904f5f-331e-4e9c-8fcc-2945d50100ae,Itron-G6,22300,Dicksonberg
0158fce1-ac25-442f-bf65-4469f2bcf8b6,SmartGas-2000,52408,Millerborough
45baa5de-1cf6-4ea5-9b10-9384351d479d,SmartGas-2000,66373,Jamesberg
d9024aed-f4c7-4c48-b228-62cbae22985f,Itron-G4,42068,North Christopherville
7f9451e7-e402-4db9-98ec-f22d1a0b9855,SmartGas-2000,52657,Johnstad
cb78585e-4b47-4c4e-9f4a-08e682b38372,Itron-G6,27633,North Daniel
31150acf-ebb8-4c97-8df0-5c830a86eb16,Itron-G4,83175,West Andreabury
68799783-b49c-4786-a62b-6a8b55ada9f1,Itron-G6,60630,Travisville
e28ef44b-7c04-4fe4-9768-5e9838819c44,Itron-G4,47056,Danielburgh
dd3ba0e9-ea2e-49da-88b9-c3cc68fdd82f,SmartGas-2000,97923,Lake Blake
6ad08329-ece9-4286-ac14-2a87b5a36006,Itron-G6,28265,East Tonybury
995a6da4-daf2-4045-a29a-6ef63dee41c3,Itron-G6,92820,Port Veronicatown
517bf649-3585-4a87-bb1f-fecb8f9c74ce,Itron-G4,28899,Nicolemouth
627589af-2a50-4386-a3a1-bf3461148f06,SmartGas-2000,13594,Lake Theresa
bb62a8d5-da66-4705-aa36-91639995a9bd,Itron-G6,35368,South Kristie
c9e2a540-8a7b-45f7-b209-1461935f1557,Itron-G4,15963,Kaitlinmouth
d6c0838b-6d92-44d7-aab2-249dc9202f83,Itron-G6,59913,Lake Andre
f4ca9ab0-5989-41bd-aca8-935ef57e0781,SmartGas-2000,27585,Carrchester
2190ffeb-9959-4bf4-8b4a-9dc315ac31a4,Itron-G4,15347,Barryfort
8951731a-90d6-4f29-a08a-d6ebca8ba46e,Itron-G6,99476,Lake Bruceborough
1b2609c6-ee85-4119-89bc-7e44f4aa7238,SmartGas-2000,87908,Lake Alex
f005de4f-785e-4cca-a06b-476b523f56e7,Itron-G4,69080,Port Patrick
0892385b-6549-4943-9e3d-fe349b14a566,Itron-G6,81916,Owensside
ada44834-3317-4249-831e-3c036245d844,SmartGas-2000,70404,Jamesview
0a1f9055-f1f6-4704-aa61-4aa3a9e2620d,Itron-G4,37625,South Jack
beb01db2-0538-4e70-9ed7-0e158c6980db,Itron-G4,14019,East Cynthiabury
68ae7196-608e-44e9-be8c-f8b8f2a85cd8,Itron-G6,27631,Jessebury
267342b1-2a7d-43a6-acdc-0af69d142e59,Itron-G6,41976,Port Bradley
cc780bf2-ad3d-439d-b183-b063b8ddf25d,Itron-G6,78846,West Tammy
fd107363-989a-423c-a316-661338feeac1,SmartGas-2000,36136,Chavezland
90bb1261-e517-4ea4-a049-f60e2be1d7ff,Itron-G6,18500,West Troyside
787cc9a6-21e7-4ea7-8d55-c0bde9f984ca,Itron-G4,07714,New Jessicastad
8338a338-0bce-43f6-abec-e3e6097d66d7,Itron-G6,97290,South Tracyview
d85c3adc-8a8e-4bdb-a08c-31009a5e5b69,Itron-G6,69909,Paulview
80c1795d-d3d2-45b5-be00-e3b20cf81515,SmartGas-2000,80093,Ericshire
5d9f8afa-afb2-4b0f-b18d-7c7f1d0bf310,SmartGas-2000,14523,South Kimberly
290e319f-442d-4229-a14a-e99142c8352f,Itron-G4,95188,New Kyle
73a97d21-90be-4c0c-8827-fd36d5595973,Itron-G4,54107,Medinatown
7d3786d6-40bc-4292-a9cf-8028ab4e82b1,Itron-G6,74175,North Josephville
fb1cee6e-2429-4efd-8b50-10744ca496fe,Itron-G6,63206,North Kathleenland
5dae29b4-7747-4ea0-a396-93aefd893aa0,Itron-G6,31600,Loriburgh
bc3557bb-4aea-4740-9034-509fc3a82224,Itron-G4,88540,Williamfurt
ae23a96c-129d-498e-806d-7e3c103fbacf,Itron-G6,91754,Lake Garyberg
c36db6a0-6184-4956-83cf-54c94ba2d0af,Itron-G4,95048,North Troyborough
ac2a1cc5-0a36-4ba6-b744-16e3626256e7,Itron-G4,09670,Cherylfurt
fc83eab3-5b7c-4ef6-bdc8-eeeac236888a,SmartGas-2000,61138,Fritzville
6955ec30-ddea-49e8-95ac-69540ca6f064,Itron-G4,95652,Caitlinmouth
4434e40c-f593-4d25-b61f-53609738e31e,SmartGas-2000,76139,South Jacquelinefort
2d4171ed-2e3d-4485-a67a-5a05ff55238c,Itron-G4,66447,Berryville
15c81a41-fe83-4675-a25c-a20fbb5f0736,Itron-G6,78732,Lopeztown
b3415db9-4931-4e49-bb27-178ac16dac1a,SmartGas-2000,95039,Bruceshire
f37be34a-b21d-4d19-b6fe-661a38786c80,SmartGas-2000,15159,South Kathryn
86958e8e-8a5c-4413-8e7a-44bffb45a979,Itron-G6,45850,Fordburgh
